Exchange Date,Close,Adjusted Close,Net,%Chg,Open,Low,High,Volume
11/24/2023,455.3,,0.28,0.06%,455.07,454.73,455.5,29737375
11/23/2023,,,,,,,,
11/22/2023,455.02,,1.75,0.39%,454.98,453.8895,456.38,59446573
11/21/2023,453.27,,-0.99,-0.22%,453.1842,451.9599,454.131,49244639
11/20/2023,454.26,,3.47,0.77%,450.53,450.52,455.125,70055633
11/17/2023,450.79,,0.56,0.12%,450.24,449.29,451.42,83193902
11/16/2023,450.23,,0.55,0.12%,449.22,448.12,450.56,66665797
11/15/2023,449.68,,0.95,0.21%,450.11,448.8,451.38,77327573
11/14/2023,448.73,,8.54,1.94%,446.32,446.09,450.06,97176935
11/13/2023,440.19,,-0.42,-0.10%,439.23,438.42,441.33,52236068
11/10/2023,440.61,,6.77,1.56%,435.98,433.8335,440.93,89558054
11/9/2023,433.84,,-3.41,-0.78%,438.43,433.4,438.47,83174417
11/8/2023,437.25,,0.32,0.07%,437.55,434.87,438.09,61746027
11/7/2023,436.93,,1.24,0.28%,435.69,434.51,437.585,64256114
11/6/2023,435.69,,1,0.23%,435.47,433.68,436.1498,67831660
11/3/2023,434.69,,3.93,0.91%,433.14,433.01,436.29,100167775
11/2/2023,430.76,,8.1,1.92%,426.58,426.56,430.915,94938909
11/1/2023,422.66,,4.46,1.07%,419.2,418.6499,423.5,98068115
10/31/2023,418.2,,2.61,0.63%,416.18,414.21,418.53,79665150
10/30/2023,415.59,,4.91,1.20%,413.56,412.22,416.68,86562675
10/27/2023,410.68,,-1.87,-0.45%,414.19,409.21,414.6,107367671
10/26/2023,412.55,,-5,-1.20%,416.45,411.6,417.325,115156761
10/25/2023,417.55,,-6.08,-1.44%,421.89,417.015,421.92,94223198
10/24/2023,423.63,,3.17,0.75%,422.65,420.74,424.82,78564239
10/23/2023,420.46,,-0.73,-0.17%,419.61,417.8,424.45,92035095
10/20/2023,421.19,,-5.24,-1.23%,425.98,421.08,426.54,123919874
10/19/2023,426.43,,-3.78,-0.88%,430.95,425.725,432.82,121322957
10/18/2023,430.21,,-5.81,-1.33%,434.19,429.09,435.18,93559798
10/17/2023,436.02,,-0.02,0.00%,432.81,432.45,438.14,75324708
10/16/2023,436.04,,4.54,1.05%,433.82,433.57,437.14,75433194
10/13/2023,431.5,,-2.16,-0.50%,435.21,429.88,436.45,95201132
10/12/2023,433.66,,-2.66,-0.61%,436.95,431.23,437.335,81154230
10/11/2023,436.32,,1.78,0.41%,435.64,433.18,436.58,62451736
10/10/2023,434.54,,2.25,0.52%,432.94,432.53,437.22,78607268
10/9/2023,432.29,,2.75,0.64%,427.58,427.0101,432.88,80374362
10/6/2023,429.54,,5.04,1.19%,421.97,420.6,431.125,113273309
10/5/2023,424.5,,-0.16,-0.04%,424.36,421.1701,425.37,70142744
10/4/2023,424.66,,3.07,0.73%,422.07,420.56,425.4299,87452968
10/3/2023,421.59,,-5.72,-1.34%,425.06,420.18,427.3729,103760607
10/2/2023,427.31,,-0.17,-0.04%,426.62,424.46,428.6,83798599
9/29/2023,427.48,,-1.04,-0.24%,431.67,425.91,431.85,115111319
9/28/2023,428.52,,2.47,0.58%,425.48,424.87,430.2499,92258308
9/27/2023,426.05,,0.17,0.04%,427.09,422.29,427.67,104705847
9/26/2023,425.88,,-6.35,-1.47%,429.09,425.02,429.82,96168436
9/25/2023,432.23,,1.81,0.42%,429.17,428.72,432.27,70874534
9/22/2023,430.42,,-0.97,-0.22%,432.45,429.99,434.1,100829684
9/21/2023,431.39,,-7.25,-1.65%,435.7,431.23,435.97,104095826
9/20/2023,438.64,,-4.07,-0.92%,444.01,438.43,444.435,82562602
9/19/2023,442.71,,-0.92,-0.21%,442.68,439.94,443.29,66514648
9/18/2023,443.63,,0.26,0.06%,443.05,442.56,444.97,55752213
9/15/2023,443.37,,-6.99,-1.55%,447.14,442.92,447.48,111848859
9/14/2023,450.36,,3.85,0.86%,449.07,447.715,451.08,83430814
9/13/2023,446.51,,0.52,0.12%,446.22,445.0793,447.71,60199272
9/12/2023,445.99,,-2.46,-0.55%,446.95,445.39,448.53,67565422
9/11/2023,448.45,,2.93,0.66%,448.24,446.4699,448.77,60180118
